,skin,fat,muscle,ijv,cca
502,22.0,10.0,9.0,37.5,37.5
503,22.0,10.0,9.0,30.25,30.25
504,22.0,10.0,9.0,23.0,23.0
505,22.0,10.0,7.75,52.0,52.0
506,22.0,10.0,7.75,44.75,44.75
507,22.0,10.0,7.75,37.5,37.5
508,22.0,10.0,7.75,30.25,30.25
509,22.0,10.0,7.75,23.0,23.0
510,22.0,10.0,6.5,52.0,52.0
511,22.0,10.0,6.5,44.75,44.75
512,22.0,10.0,6.5,37.5,37.5
513,22.0,10.0,6.5,30.25,30.25
514,22.0,10.0,6.5,23.0,23.0
515,22.0,10.0,5.25,52.0,52.0
516,22.0,10.0,5.25,44.75,44.75
517,22.0,10.0,5.25,37.5,37.5
518,22.0,10.0,5.25,30.25,30.25
519,22.0,10.0,5.25,23.0,23.0
520,22.0,10.0,4.0,52.0,52.0
521,22.0,10.0,4.0,44.75,44.75
522,22.0,10.0,4.0,37.5,37.5
523,22.0,10.0,4.0,30.25,30.25
524,22.0,10.0,4.0,23.0,23.0
525,19.0,23.0,9.0,52.0,52.0
526,19.0,23.0,9.0,44.75,44.75
527,19.0,23.0,9.0,37.5,37.5
528,19.0,23.0,9.0,30.25,30.25
529,19.0,23.0,9.0,23.0,23.0
530,19.0,23.0,7.75,52.0,52.0
531,19.0,23.0,7.75,44.75,44.75
532,19.0,23.0,7.75,37.5,37.5
533,19.0,23.0,7.75,30.25,30.25
534,19.0,23.0,7.75,23.0,23.0
535,19.0,23.0,6.5,52.0,52.0
536,19.0,23.0,6.5,44.75,44.75
537,19.0,23.0,6.5,37.5,37.5
538,19.0,23.0,6.5,30.25,30.25
539,19.0,23.0,6.5,23.0,23.0
540,19.0,23.0,5.25,52.0,52.0
541,19.0,23.0,5.25,44.75,44.75
542,19.0,23.0,5.25,37.5,37.5
543,19.0,23.0,5.25,30.25,30.25
544,19.0,23.0,5.25,23.0,23.0
545,19.0,23.0,4.0,52.0,52.0
546,19.0,23.0,4.0,44.75,44.75
547,19.0,23.0,4.0,37.5,37.5
548,19.0,23.0,4.0,30.25,30.25
549,19.0,23.0,4.0,23.0,23.0
550,19.0,20.833333333333332,9.0,52.0,52.0
551,19.0,20.833333333333332,9.0,44.75,44.75
552,19.0,20.833333333333332,9.0,37.5,37.5
553,19.0,20.833333333333332,9.0,30.25,30.25
554,19.0,20.833333333333332,9.0,23.0,23.0
555,19.0,20.833333333333332,7.75,52.0,52.0
556,19.0,20.833333333333332,7.75,44.75,44.75
557,19.0,20.833333333333332,7.75,37.5,37.5
558,19.0,20.833333333333332,7.75,30.25,30.25
559,19.0,20.833333333333332,7.75,23.0,23.0
560,19.0,20.833333333333332,6.5,52.0,52.0
561,19.0,20.833333333333332,6.5,44.75,44.75
562,19.0,20.833333333333332,6.5,37.5,37.5
563,19.0,20.833333333333332,6.5,30.25,30.25
564,19.0,20.833333333333332,6.5,23.0,23.0
565,19.0,20.833333333333332,5.25,52.0,52.0
566,19.0,20.833333333333332,5.25,44.75,44.75
567,19.0,20.833333333333332,5.25,37.5,37.5
568,19.0,20.833333333333332,5.25,30.25,30.25
569,19.0,20.833333333333332,5.25,23.0,23.0
570,19.0,20.833333333333332,4.0,52.0,52.0
571,19.0,20.833333333333332,4.0,44.75,44.75
